aliasQuery,dc2.large_x5nodes_run_1,dc2.large_x5nodes_run_2,dc2.large_x5nodes_run_3,campaign-2024-12-26T11:45:23.226Z,campaign-2024-12-26T12:32:33.776Z,campaign-2024-12-30T07:32:54.784Z,campaign-2024-12-30T09:35:22.782Z,campaign-2024-12-30T11:07:52.516Z,campaign-2024-12-30T11:59:31.657Z,campaign-2025-01-01T11:31:50.802Z,campaign-2025-01-01T12:45:31.968Z,campaign-2025-01-01T14:00:02.690Z
Q1_1,7672,6944,8975,3726,11151,3674,4934,4095,4207,8628,8846,8317
Q1_2,7058,7999,8298,3709,3571,3448,5269,4308,4109,8720,8336,8501
Q1_3,7472,7501,8490,4016,3641,3630,5185,4032,4613,8767,8500,8779
Q1_4,7454,7456,7866,3747,3885,3694,5233,4211,4426,9073,8645,8489
Q1_5,7297,7206,7438,3564,3549,3801,5259,4100,4045,8495,8383,8304
Q1_6,7383,7175,6928,3487,3428,3651,5015,4080,4049,8427,8631,8434
Q1_7,7623,7510,7574,3614,3459,3522,5530,4154,4233,8780,8883,9263
Q1_8,7289,7422,7547,3757,3518,3620,5170,4212,4397,8659,8512,8689
Q1_9,7324,7255,7252,3522,3707,3803,5486,4189,4400,8884,8554,8794
Q1_10,7367,7207,7495,3574,3735,3705,5132,4147,4049,8730,8616,8441
Q2_1,1421,1233,1262,645,5919,549,518,733,561,1230,1218,1218
Q2_2,1171,1281,1357,562,594,528,504,656,584,1054,1146,1322
Q2_3,1367,1319,1318,802,738,563,631,675,673,1218,1276,1395
Q2_4,1071,1184,1089,459,492,470,484,527,515,1059,1053,1157
Q2_5,1113,1145,1227,446,513,481,544,588,569,1085,1063,1313
Q2_6,1512,1610,1515,743,872,730,821,889,943,1360,1442,1319
Q2_7,1044,1154,1123,460,439,457,626,496,569,1025,1077,1071
Q2_8,1310,1224,1188,600,574,518,541,520,524,1095,1090,1183
Q2_9,1100,1055,1109,594,461,524,579,525,515,1077,1139,1075
Q2_10,1362,1460,1427,561,645,524,569,542,494,1128,1210,1144
Q3_1,3314,3620,3444,2781,8540,3092,2907,2807,2987,4243,4179,4279
Q3_2,3570,3488,3429,2738,3040,2792,2835,3084,2825,4065,4069,4030
Q3_3,3292,3046,3121,2275,2457,2394,2132,2392,2200,3421,3399,3439
Q3_4,3622,3386,3386,2429,8102,2438,2424,2781,2352,3501,3860,3539
Q3_5,3127,3071,3119,2598,2326,2460,2302,2358,2233,3550,4016,3451
Q3_6,3450,3578,3364,2392,2448,2438,2460,2784,2426,3533,4121,3617
Q3_7,3083,3168,3142,2437,2371,2358,2229,2611,2249,3437,3387,3327
Q3_8,3004,2972,3078,2424,2321,2324,2266,2872,2230,3575,3586,3464
Q3_9,3034,3019,3008,2315,2433,2315,2139,2388,2086,3516,3400,3367
Q3_10,3434,3473,3425,2534,2428,2355,2191,2931,2229,3498,3353,3378
Q4_1,5025,5269,5031,4400,10576,4345,4591,4959,4293,5710,5415,5360
Q4_2,3509,3397,3600,2787,2855,2971,2705,2845,2622,3725,3723,3755
Q4_3,3571,3451,3364,2768,8209,2790,2592,2559,2646,3565,3580,3561
Q4_4,3168,3330,3421,2620,2875,2681,2696,2570,2656,3567,3690,3589
Q4_5,3444,3390,3532,2766,2803,2705,2604,2660,2659,3636,3655,3557
Q4_6,3371,3288,3330,2612,2785,2723,2617,2537,2593,3424,3434,3420
Q4_7,3481,3389,3464,2627,2669,2748,2694,2644,2672,3661,3508,3458
Q4_8,3722,3457,3463,2675,2737,2658,2616,2684,2594,3758,3616,3659
Q4_9,3353,3580,3668,2675,2797,2586,2554,2706,2802,3654,3585,3669
Q4_10,3456,3608,3576,2690,2906,2686,2566,2605,2630,3616,3561,3756
Q5_1,47840,50338,47435,63625,45423,39027,79450,42294,41999,79737,80526,79107
Q5_2,48882,55458,49536,48498,47500,39725,82720,43419,43753,81631,82033,93528
Q5_3,46849,46613,47562,44756,44795,37823,77624,41054,41268,83898,81132,80317
Q5_4,48131,46708,46442,38186,38135,38824,76273,41668,41912,87586,87249,88320
Q5_5,50662,49569,48839,39445,42361,38684,77955,41756,42757,81763,79497,81847
Q5_6,50455,47170,46646,41881,41940,41207,77189,40297,40091,82340,82435,82684
Q5_7,47984,45955,46306,44377,37668,42855,41065,40565,40503,48564,48298,49183
Q5_8,46414,46259,47098,51952,48685,40765,54574,44331,43908,57543,57418,57442
Q5_9,11117,6992,7157,10226,9473,2916,2937,2416,2131,2736,2555,2590
Q5_10,53719,47695,46609,41471,37623,38574,76219,41685,46843,82828,82626,82003
Q6_1,36388,34330,32828,37639,29204,28985,191441,31031,30803,187275,187507,187319
Q6_2,30316,29752,29857,32021,26722,26721,27687,28208,28187,30780,30776,31261
Q6_3,30878,31085,31026,27966,27783,28094,199962,29010,29240,193021,188689,188746
Q6_4,38786,30820,30500,34959,26756,28543,62116,27744,28131,66052,65031,69421
Q6_5,35385,30644,33586,27394,27295,27320,63027,28176,28446,64054,68424,64382
Q6_6,38745,30194,34005,37889,36280,27617,31734,29639,29556,30311,30053,30274
Q6_7,39925,30339,33653,37389,33369,26619,34389,27569,28434,30781,30992,30722
Q6_8,38636,31195,30070,37463,29710,29341,65122,31708,31408,64115,64708,64323
Q6_9,31450,30912,31381,27811,27628,27856,188621,29379,28734,194320,186220,189452
Q6_10,29968,30126,29619,26108,26452,25911,61887,27014,27464,63969,64603,64161
Q7_1,48996,52958,49155,43162,39202,39703,78489,42137,43269,83041,82985,81810
Q7_2,47376,47671,48513,39517,38964,39449,50629,43885,41707,57133,57915,57945
Q7_3,48951,56584,49071,39537,39338,38541,78651,48290,41971,81982,82631,81916
Q7_4,46301,46223,46299,37744,37039,36622,49045,41163,40508,47729,48769,48700
Q7_5,63161,48585,47798,45676,44446,37963,77142,41273,40656,85747,82604,84435
Q7_6,49165,48642,49353,39316,37769,39813,76687,41727,41210,91636,86582,90255
Q7_7,46943,46921,47206,38119,36349,37036,75693,40418,41535,83433,88109,82663
Q7_8,48403,48985,49197,38859,37847,38722,77130,41684,42631,82352,83981,83252
Q7_9,50691,49790,50592,41207,42121,40163,78544,42955,43055,83364,84399,83783
Q7_10,53505,46918,47609,38211,42055,37330,76879,41348,41219,81963,81807,82854
Q8_1,54568,51473,51883,98292,41497,44643,44684,44503,43822,51261,51185,51155
Q8_2,51105,51322,51480,40783,40467,45873,45260,45559,48944,50683,50950,51902
Q8_3,52343,51201,51154,40339,40420,40582,45420,45606,52238,51003,51692,51870
Q8_4,52003,51073,55188,39738,40411,41232,45603,47919,46509,51269,51219,52108
Q8_5,51293,52476,57483,38786,39375,39205,44289,45393,44744,50789,51149,51071
Q8_6,51177,51546,50763,40591,39645,39832,43716,44840,44917,50925,51581,51391
Q8_7,50564,51491,50767,39361,39096,40158,43884,44875,44404,51013,51029,51699
Q8_8,50434,51107,50837,41051,40404,40538,48195,45814,45204,51224,55934,51664
Q8_9,51215,52764,51260,40046,40125,41772,49860,45652,45257,59802,50953,57538
Q8_10,32169,35933,32165,30662,30377,30043,31788,31864,31595,32490,36722,32335
Q9_1,44527,48503,44994,73620,37476,37551,41287,42374,40344,46987,47390,46534
Q9_2,46931,48012,48197,48676,39843,39405,75672,50185,43564,78555,79292,79308
Q9_3,45877,46410,46632,45974,38629,38441,49843,41397,41632,55291,54622,55139
Q9_4,46163,46348,46017,38709,39890,39403,74497,43332,42905,79261,84441,79724
Q9_5,47621,45563,45569,39149,38447,38556,74760,42517,42491,79306,78771,79133
Q9_6,48686,45646,45249,37978,36633,37255,73254,39956,40182,79276,79640,80088
Q9_7,58394,46467,46304,44820,38020,37191,76655,40428,41350,78721,81713,80609
Q9_8,51366,45624,45241,44999,37932,37422,40499,49067,41351,47028,46834,46995
Q9_9,46540,46089,46139,39632,38543,40225,73845,42616,42028,78936,79215,78615
Q9_10,47433,45838,45023,39769,37247,37487,74828,40658,40174,81384,79142,80998
Q10_1,42391,44462,44086,42245,39521,36010,39859,39798,39898,42780,43493,43381
Q10_2,43949,44091,47546,36414,40492,37317,40502,40623,44737,45711,44210,43861
Q10_3,44102,44301,47598,36039,36881,41016,42518,39490,44220,50048,47112,51903
Q10_4,44435,44526,46649,37587,37855,42184,42946,41747,40998,44716,51260,45150
Q10_5,43156,45103,43671,36919,36593,36558,43003,41142,40622,43265,43706,43793
Q10_6,43214,44075,43007,36185,35656,35957,39443,39419,38983,43184,42998,43918
Q10_7,44416,43694,43500,36757,36972,36486,39984,41365,40398,43286,43380,43557
Q10_8,57922,45017,44564,45468,36909,36686,39989,40205,40997,43434,44698,43726
Q10_9,1664,1440,1357,1650,1431,1502,1314,1372,1372,1314,1289,1330
Q10_10,1408,1593,1533,1697,1345,1656,1512,1505,1332,1433,1280,1408